naam;straat;postcode;plaats;website;latitude;longitude
ZorgSaam Ziekenhuis, locatie De Honte;Wielingenlaan 2;4535 PA;Terneuzen;http://www.zorgsaam.org;51.30918519999999;3.8601120000000004
Radboudumc;Geert Grooteplein-Zuid 10;6525 GA;Nijmegen;https://www.radboudumc.nl;51.82338370000001;5.8600917
St. Anna Ziekenhuis, locatie Geldrop;Bogardeind 2;5664 EH;Geldrop;http://www.st-anna.nl;51.4198606;5.5585378
St Antonius Woerden;Polanerbaan 2;3447 GN;Woerden;http://www.antoniusziekenhuis.nl;52.0794565;4.8918803
ETZ Waalwijk;Kasteellaan 2;5141 BM;Waalwijk;https://www.etz.nl;51.6858817;5.0530282
Rijnstate Zevenaar;Hunneveldweg 14 A;6903 ZN;Zevenaar;http://www.rijnstate.nl;51.9421501;6.0697227
UMCG Centrum voor Revalidatie, locatie Beatrixoord;Dilgtweg 5;9751 ND;Haren;http://www.revalidatie.umcg.nl;53.18244749999999;6.5994856
Groene Hart Ziekenhuis, locatie Gouda;Bleulandweg 10;2803 HH;Gouda;http://www.ghz.nl;52.0220227;4.706738099999999
Meander Medisch Centrum, locatie Amersfoort;Maatweg 3;3813 TZ;Amersfoort;https://www.meandermc.nl;52.1720318;5.3711835
OLVG, locatie Oost;Oosterpark 9;1091 AC;Amsterdam;https://www.olvg.nl;52.358237100000004;4.915375
Elkerliek ziekenhuis, locatie Helmond;Wesselmanlaan 25;5707 HA;Helmond;https://www.elkerliek.nl;51.4820949;5.6436799
Ikazia ziekenhuis Rotterdam;Montessoriweg 1;3083 AN;Rotterdam;https://www.ikazia.nl;51.886169;4.4939073
Martini Ziekenhuis;Van Swietenplein 1;9728 NT;Groningen;https://www.martiniziekenhuis.nl;53.192528;6.5513759999999985
Meander Medisch Centrum, locatie Baarn;Molenweg 2;3743 CM;Baarn;https://www.meandermc.nl;52.2148325;5.2770779
Rijnstate Arnhem;Wagnerlaan 55;6815 AD;Arnhem;http://www.rijnstate.nl;52.00090119999999;5.909849400000001
Jeroen Bosch Ziekenhuis;Henri Dunantstraat 1;5223 GZ;’s-Hertogenbosch;https://www.jbz.nl;51.68507959999999;5.2755195
VieCuri, locatie Venlo;Tegelseweg 210;5912 BL;Venlo;http://www.viecuri.nl;51.3566777;6.1535965
Rode Kruis Ziekenhuis;Vondellaan 13;1942 LE;Beverwijk;https://www.rkz.nl;52.4791281;4.6506
Ommelander Ziekenhuis Groningen, locatie Scheemda;Pastorieweg 1;9679 BJ;Scheemda;https://www.ommelanderziekenhuis.nl;53.20298879999999;6.8743935
Ziekenhuis Amstelland;Laan van de Helende Meesters 8;1186 AM;Amstelveen;https://www.ziekenhuisamstelland.nl;52.294041299999996;4.8733133
Ziekenhuis Nij Smellinghe;Compagnonsplein 1;9202 NN;Drachten;https://www.nijsmellinghe.nl;53.09969049999999;6.1112552
Treant Zorggroep, Ziekenhuislocatie Bethesda;Dr. G.H. Amshoffweg 1;7909 AA;Hoogeveen;http://www.treant.nl;52.726833400000004;6.4601239999999995
Rijnstate Velp;President Kennedylaan 100;6883 AZ;Velp;http://www.rijnstate.nl;51.986245200000006;5.976505400000001
Spaarne Gasthuis, locatie Haarlem-Zuid;Boerhaavelaan 22;2035 RC;Haarlem;https://www.spaarnegasthuis.nl;52.3669391;4.6524093
Westfriesgasthuis, locatie Hoorn;Maelsonstraat 3;1624 NP;Hoorn;http://www.westfriesgasthuis.nl;52.6471938;5.0540555
Isala Diaconessenhuis;Hoogeveenseweg 38;7943 KA;Meppel;https://www.isala.nl;52.690817700000004;6.2178197
Het Oogziekenhuis Rotterdam;Schiedamse Vest 180;3011 BH;Rotterdam;http://www.oogziekenhuis.nl;51.914919899999994;4.480213900000001
Alrijne Ziekenhuis Leiden;Houtlaan 55;2334 CK;Leiden;http://www.alrijne.nl;52.1740179;4.4827894
ZGT Hengelo;Geerdinksweg 141;7555 DL;Hengelo;http://www.zgt.nl;52.26379960000001;6.769632400000001
UMC Utrecht, locatie Heidelberglaan;Heidelberglaan 100;3584 CX;Utrecht;https://www.umcutrecht.nl;52.0864996;5.1798816
ETZ Elisabeth;Hilvarenbeekse Weg 60;5022 GC;Tilburg;https://www.etz.nl;51.54008959999999;5.1042353999999985
IJsselland Ziekenhuis;Prins Constantijnweg 2;2906 ZC;Capelle aan den IJssel;https://www.ysl.nl;51.9390717;4.5631293
MC Zuiderzee;Ziekenhuisweg 100;8233 AA;Lelystad;http://www.mcgroep.com;52.504307700000005;5.4769717
Noordwest Ziekenhuisgroep, locatie Alkmaar;Wilhelminalaan 12;1815 JD;Alkmaar;https://www.nwz.nl;52.62920159999999;4.7361301
Catharina Ziekenhuis Eindhoven;Michelangelolaan 2;5623 EJ;Eindhoven;https://www.catharinaziekenhuis.nl;51.46569;5.4716923
LangeLand Ziekenhuis, locatie Zoetermeer;Toneellaan 1;2725 NA;Zoetermeer;https://www.langeland.nl;52.068819299999994;4.4993457
Ziekenhuis Rivierenland;President Kennedylaan 1;4002 WP;Tiel;https://www.zrt.nl;51.8894264;5.4150467
Leids Universitair Medisch Centrum (LUMC);Albinusdreef 2;2333 ZA;Leiden;https://www.lumc.nl;52.16676270000001;4.477522799999999
Noordwest Ziekenhuisgroep, locatie Den Helder;Huisduinerweg 3;1782 GZ;Den Helder;https://www.nwz.nl;52.9580142;4.7443567
Admiraal De Ruyter Ziekenhuis, locatie Vlissingen;Koudekerkseweg 88;4382 EE;Vlissingen;https://www.adrz.nl;51.4513019;3.5658924
Maasstad Ziekenhuis;Maasstadweg 21;3079 DZ;Rotterdam;https://www.maasstadziekenhuis.nl;51.8791186;4.5353620999999995
Zaans Medisch Centrum;Koningin Julianaplein 58;1502 DV;Zaandam;https://www.zaansmedischcentrum.nl;52.4530089;4.8271058
ETZ TweeSteden;Dr. Deelenlaan 5;5042 AD;Tilburg;https://www.etz.nl;51.57728839999999;5.0594915
BovenIJ ziekenhuis;Statenjachtstraat 1;1034 CS;Amsterdam;http://www.bovenij.nl;52.4044603;4.9222167
Beatrixziekenhuis, locatie Gorinchem;Banneweg 57;4204 AA;Gorinchem;https://www.rivas.nl/beatrixziekenhuis;51.8388658;4.9573317999999995
Diakonessenhuis, locatie Zeist;Jagersingel 1;3707 JA;Zeist;https://www.diakonessenhuis.nl;52.0914193;5.2616714999999985
Erasmus MC - Kanker Instituut;Groene Hilledijk 301;3075 EA;Rotterdam;http://www.erasmusmc.nl;51.885874799999996;4.504938200000001
Amphia Ziekenhuis, locatie Molengracht;Molengracht 21;4818 CK;Breda;http://www.amphia.nl;51.5825495;4.8007856
Franciscus Vlietland;Vlietlandplein 2;3118 JH;Schiedam;http://www.vlietlandziekenhuis.nl;51.922579799999994;4.3801519
OLVG, locatie West;Jan Tooropstraat 164;1061 AE;Amsterdam;https://www.olvg.nl;52.371390999999996;4.8392487
Franciscus Gasthuis;Kleiweg 500;3045 PM;Rotterdam;http://www.sfg.nl;51.9416397;4.4628618
Alrijne Ziekenhuis Leiderdorp;Simon Smitweg 1;2353 GA;Leiderdorp;http://www.alrijne.nl;52.15688069999999;4.5418055
UMC Utrecht, Wilhelmina Kinderziekenhuis;Lundlaan 6;3584 EA;Utrecht;https://www.hetwkz.nl;52.089633899999995;5.1810402
HMC Antoniushove;Burgemeester Banninglaan 1;2262 BA;Leidschendam;https://www.mchaaglanden.nl;52.09322479999999;4.3834591
HagaZiekenhuis, locatie Sportlaan;Sportlaan 600;2566 MJ;Den Haag;https://www.hagaziekenhuis.nl;52.081043799999996;4.2641027000000005
Admiraal De Ruyter Ziekenhuis, locatie Goes;’s-Gravenpolderseweg 114;4462 RA;Goes;https://www.adrz.nl;51.4847355;3.9071112
MCL - Medisch Centrum Leeuwarden;Henri Dunantweg 2;8934 AD;Leeuwarden;https://www.mcl.nl;53.1898029;5.8068116
Waterlandziekenhuis;Waterlandlaan 250;1441 RN;Purmerend;https://www.waterlandziekenhuis.nl;52.50067070000001;4.9626462
Bravis ziekenhuis Roosendaal;Boerhaavelaan 25;4708 AE;Roosendaal;http://www.bravisziekenhuis.nl;51.52867380000001;4.4396350999999985
St Antonius Nieuwegein;Koekoekslaan 1;3435 CM;Nieuwegein;https://www.antoniusziekenhuis.nl;52.025370200000005;5.0817385
Zuyderland Zorgcentra - De Egthe;De Egthe 1;6101 EX;Echt;https://www.zuyderland.nl;51.106115700000004;5.8730736
Albert Schweitzer ziekenhuis, locatie Zwijndrecht;Langeweg 336;3331 LZ;Zwijndrecht;http://www.asz.nl;51.827003000000005;4.6296068
Zuyderland Medisch Centrum Sittard-Geleen;Dr. H. van der Hoffplein 1;6162 BG;Geleen;http://www.zuyderland.nl;50.9841107;5.8436115
ZGT Almelo;Zilvermeeuw 1;7609 PP;Almelo;http://www.zgt.nl;52.337154999999996;6.6408033999999985
MC Slotervaart;Louwesweg 6;1066 EC;Amsterdam;https://www.mcslotervaart.com;52.3481083;4.8256442
Bravis ziekenhuis Bergen op Zoom;Boerhaaveplein 1;4624 VT;Bergen op Zoom;http://www.bravisziekenhuis.nl;51.4868856;4.3142022
UMC Groningen (UMCG), locatie Hanzeplein;Hanzeplein 1;9713 GZ;Groningen;http://www.umcg.nl;53.223816500000005;6.573365799999999
Treant Zorggroep, Ziekenhuislocatie Scheper;Boermarkeweg 60;7824 AA;Emmen;http://www.treant.nl;52.78623409999999;6.9130549
Isala Zwolle;Dokter van Heesweg 2;8025 AB;Zwolle;https://www.isala.nl;52.512637100000006;6.1244809
HMC Bronovo;Bronovolaan 5;2597 AX;Den Haag;https://www.mchaaglanden.nl;52.102234;4.316525700000001
Maastricht UMC+;P. Debyelaan 25;6229 HX;Maastricht;https://www.mumc.nl;50.8342027;5.713296
VUmc, locatie De Boelelaan;De Boelelaan 1117;1081 HV;Amsterdam;https://www.amsterdamumc.nl;52.3363204;4.859111200000001
HagaZiekenhuis, locatie Leyweg;Leyweg 275;2545 AA;Den Haag;https://www.hagaziekenhuis.nl;52.0571863;4.264712599999999
Tergooi, locatie Hilversum;Van Riebeeckweg 212;1213 XZ;Hilversum;http://www.tergooi.nl;52.2170583;5.202228400000001
Ziekenhuis Gelderse Vallei;Willy Brandtlaan 10;6716 RP;Ede;https://www.geldersevallei.nl;52.021128000000004;5.645601
Albert Schweitzer ziekenhuis, locatie Dordwijk;Albert Schweitzerplaats 25;3318 AT;Dordrecht;http://www.asz.nl;51.79176030000001;4.6829779
Diakonessenhuis, locatie Utrecht;Bosboomstraat 1;3582 KE;Utrecht;https://www.diakonessenhuis.nl;52.08159939999999;5.138709200000001
HMC Westeinde;Lijnbaan 32;2512 VA;Den Haag;https://www.haaglandenmc.nl;52.073984;4.298912800000001
Erasmus MC;’s-Gravendijkwal 230;3015 CE;Rotterdam;http://www.erasmusmc.nl;51.910144;4.4660354999999985
